(2,0)
(2,-1)
(1,-2)
(0,-4)
(0,-3)
(1,-3)
(0,-2)
(0,-1)
(1,-1)
(1,-2)
(2,-2)
(2,-1)
(3,-1)
(3,0)
(2,0)
(2,-1)
(1,-1)
(1,0)
(0,0)
(1,1)
(1,-1)
(30,2)
(0,-32768)
(0,-32767)
(0,0)
(2252,1348)
(72,18)
(-1507,1527)
(-334,-692)
(-72,149)
(-23,55)
(-196,-28)
(-2428,-758)
(-260,-355)
(-131,145)
(-4040,1648)
(3351,2590)
(-376,2265)
(84,-73)
(5965,-2834)
(105,-368)
(-8,-163)
(-265,21)
(17,-53)
(-3742,-1295)
(-35,1197)
(8988,11592)
(162,-633)
(2,51)
(50,588)
(-41,28)
(77,-33)
(828,884)
(432,-174)
(5215,-10315)
(114,-70)
(-21,5)
(255,-118)
(7,-57)
(41,75)
(342,321)
(25,20)
(-18,22)
(8102,-7938)
(224,225)
(-6,-14)
(-334,-260)
(7749,-11091)
(2,8)
(18,-66)
(-164,-209)
(225,-1250)
(218,371)
(18010,29679)
(-2030,987)
(263,354)
(-31,-138)
(14,-18)
(-15403,-17971)
(-146,-188)
(228,-211)
(-631,-78)
(-2442,-6368)
(-136,1309)
(402,-544)
(-246,14)
(6918,18607)
(416,127)
(-222,-41)
(11354,-5150)
(-12567,-4100)
(-2417,-1206)
(-8998,-529)
(-17147,6172)
(-37,21)
(13,-13)
(1192,-2356)
(-205,4525)
(-7571,-2301)
(3012,11535)
(13,76)
(565,-119)
(-29,-28)
(2568,-902)
(334,-229)
(-12,-12)
(-138,-1088)
(3142,3544)
(14,0)
(-1164,614)
(-37,311)
(7103,3682)
(823,-9598)
(686,-907)
(1405,-6763)
(804,695)
(1148,617)
(105,-224)
(-37,-11)
(755,-712)
(-1252,299)
(7224,-7810)
(-46,-111)
(1020,388)
(75,1)
(3218,736)
(-9,-47)
(-32,-24)
(-2005,-2966)
(-131,-78)
(58,-73)
(127,3540)
(-9,-12)
(183,97)
(-12,25)
(72,-6)
(-133,-62)
(-345,-148)
(12265,-11367)
(-50,133)
(-2728,-2206)
(-235,147)
(56,-9)
(-49,-49)
(-44,89)
(360,-956)
(592,-421)
(294,345)
(-124,18)
(-6081,-3185)
